es_tail_evidence,exception_rate_99,exceptions_99,expected_exceptions_99,first_date,fz0_mean,last_date,max_excess_99_eur,mean_es_975_eur,mean_var_99_eur,model,n,signed_hpl_eur,split,sum_excess_99_eur,tail_count_975,year
insufficient,0.003875968992248062,1,2.5800000000000001,2004-01-05,-4.9027890531997276,2004-12-31,12106.85465973512,42457.935732144193,38729.427822271267,ewma_fhs,258,-142672.08998421748,development,12106.85465973512,5,2004
insufficient,0.015503875968992248,4,2.5800000000000001,2004-01-05,-4.833449655228784,2004-12-31,17181.913652637708,34076.103702346838,33909.1353932817,ewma_gaussian,258,-142672.08998421748,development,28946.653322475126,11,2004
insufficient,0,0,2.5800000000000001,2004-01-05,-4.749292548282952,2004-12-31,0,53641.991319478257,49131.208627123968,historical,258,-142672.08998421748,development,0,1,2004
insufficient,0.01556420233463035,4,2.5699999999999998,2005-01-03,-5.0316034701630423,2005-12-30,5785.7131120842314,33782.581554988406,31743.129309352884,ewma_fhs,257,249119.43919688155,development,14643.004382900057,5,2005
insufficient,0.01556420233463035,4,2.5699999999999998,2005-01-03,-5.0344561909828389,2005-12-30,6141.9711415081765,31227.596587092852,31074.585578444112,ewma_gaussian,257,249119.43919688155,development,19828.605146307666,5,2005
insufficient,0,0,2.5699999999999998,2005-01-03,-4.9667506982452192,2005-12-30,0,42585.340117418418,41357.926920955542,historical,257,249119.43919688155,development,0,3,2005
insufficient,0.0078431372549019607,2,2.5500000000000003,2006-01-02,-5.1851647404767585,2006-12-29,3712.1789868362976,29776.97658506404,29625.731272469075,ewma_fhs,255,-270037.04968731344,development,6921.1468972524417,6,2006
insufficient,0.023529411764705882,6,2.5500000000000003,2006-01-02,-5.1189124690157124,2006-12-29,5538.2313983742715,25539.436042436002,25414.296252754324,ewma_gaussian,255,-270037.04968731344,development,20541.869539384868,13,2006
insufficient,0,0,2.5500000000000003,2006-01-02,-5.0835888773989772,2006-12-29,0,36436.69959743358,36497.40603848661,historical,255,-270037.04968731344,development,0,2,2006
insufficient,0.0039215686274509803,1,2.5500000000000003,2007-01-02,-5.2508600179258513,2007-12-31,1619.5941231634934,31304.423988329872,31435.748855374255,ewma_fhs,255,-262987.30781624431,development,1619.5941231634934,2,2007
insufficient,0.023529411764705882,6,2.5500000000000003,2007-01-02,-5.1891367690768675,2007-12-31,9347.2403416481575,22334.346225341498,22224.910943189101,ewma_gaussian,255,-262987.30781624431,development,24837.01195283058,9,2007
insufficient,0.0039215686274509803,1,2.5500000000000003,2007-01-02,-5.1598757646058999,2007-12-31,3206.0101085467577,31657.749116311978,31876.947611323551,historical,255,-262987.30781624431,development,3206.0101085467577,3,2007
insufficient,0.0078125,2,2.5600000000000001,2008-01-02,-4.699401200259838,2008-12-31,11834.878309950815,53461.010024916817,54394.212678827142,ewma_fhs,256,14411.032043721745,development,14222.958786189738,3,2008
insufficient,0.015625,4,2.5600000000000001,2008-01-02,-4.7426907375558747,2008-12-31,23165.073841720674,43350.411543361362,43138.000377580858,ewma_gaussian,256,14411.032043721745,development,34465.08578467484,7,2008
count_threshold_met_not_tested,0.0703125,18,2.5600000000000001,2008-01-02,-3.6292864887312049,2008-12-31,56425.142214113745,28767.59517607043,28666.904999891547,historical,256,14411.032043721745,development,237179.08865217917,24,2008
insufficient,0,0,2.5600000000000001,2009-01-02,-4.7533256550669192,2009-12-31,0,54127.383546348072,54317.338520231642,ewma_fhs,256,186971.50497582715,development,0,1,2009
insufficient,0,0,2.5600000000000001,2009-01-02,-4.8801349126389209,2009-12-31,0,46929.365043452541,46699.417488554529,ewma_gaussian,256,186971.50497582715,development,0,4,2009
insufficient,0.01171875,3,2.5600000000000001,2009-01-02,-4.6917701514058088,2009-12-31,14012.38264938083,42487.699391007904,39972.928390834,historical,256,186971.50497582715,development,21291.9407386436,12,2009
insufficient,0.01937984496124031,5,2.5800000000000001,2010-01-04,-4.4427179066530726,2010-12-31,29473.873165230041,47940.085291905416,46529.839933181815,ewma_fhs,258,745910.79475238163,test,69220.627919614955,10,2010
insufficient,0.0077519379844961239,2,2.5800000000000001,2010-01-04,-4.4698990285816143,2010-12-31,21296.251156081831,56552.982912066807,56275.880928462764,ewma_gaussian,258,745910.79475238163,test,41653.132227596536,4,2010
insufficient,0.031007751937984496,8,2.5800000000000001,2010-01-04,-4.3037322343350866,2010-12-31,23757.618485938729,50455.169760045879,48391.130758688247,historical,258,745910.79475238163,test,72077.850777144835,15,2010
insufficient,0.027237354085603113,7,2.5699999999999998,2011-01-03,-3.9429952323784105,2011-12-30,32138.185715255342,62386.249900247276,61307.281066602438,ewma_fhs,257,237321.56367836305,test,130539.78244014927,13,2011
insufficient,0.01556420233463035,4,2.5699999999999998,2011-01-03,-4.1447192677659555,2011-12-30,33105.28030543444,65282.952462506866,64963.074806344732,ewma_gaussian,257,237321.56367836305,test,82451.114291611506,8,2011
insufficient,0.027237354085603113,7,2.5699999999999998,2011-01-03,-4.0408058178990522,2011-12-30,49118.46174931826,60931.926012050826,60417.406402918932,historical,257,237321.56367836305,test,114699.02038969789,11,2011
insufficient,0.02734375,7,2.5600000000000001,2012-01-02,-4.4931145171050959,2012-12-31,10693.224755617084,43356.47098310163,43515.813127142734,ewma_fhs,256,-147566.38670310233,test,33012.187438174806,11,2012
insufficient,0.0234375,6,2.5600000000000001,2012-01-02,-4.6098051415662287,2012-12-31,11412.07303900949,43789.06775145969,43574.507229462666,ewma_gaussian,256,-147566.38670310233,test,30516.618079615888,9,2012
insufficient,0,0,2.5600000000000001,2012-01-02,-4.5518211462039471,2012-12-31,0,66899.164211619835,66672.250485464523,historical,256,-147566.38670310233,test,0,2,2012
insufficient,0.011764705882352941,3,2.5500000000000003,2013-01-02,-4.5204394685341258,2013-12-31,15818.808148130811,54728.81206010194,55949.499656417473,ewma_fhs,255,-566653.21944181516,test,24332.607823259306,6,2013
insufficient,0.015686274509803921,4,2.5500000000000003,2013-01-02,-4.5483177020319445,2013-12-31,13943.536015595411,47996.14150973795,47760.966894132463,ewma_gaussian,255,-566653.21944181516,test,32584.530781969621,11,2013
insufficient,0.0078431372549019607,2,2.5500000000000003,2013-01-02,-4.5171677789206015,2013-12-31,4890.3537993231148,58344.252439624273,59460.627703722508,historical,255,-566653.21944181516,test,9502.3107749035116,7,2013
