event_id,anchor_date,currency,signed_hpl_eur
chf_floor_2015,2015-01-15,AUD,26896.017965834108
chf_floor_2015,2015-01-15,CHF,218802.34370190866
chf_floor_2015,2015-01-15,GBP,9606.6701348880943
chf_floor_2015,2015-01-15,JPY,7179.9849987772905
chf_floor_2015,2015-01-15,USD,6119.6401901325444
worst_loss_2008,2008-12-18,AUD,-10455.748318049818
worst_loss_2008,2008-12-18,CHF,17670.823619944334
worst_loss_2008,2008-12-18,GBP,-26127.80185801191
worst_loss_2008,2008-12-18,JPY,-40830.57623212917
worst_loss_2008,2008-12-18,USD,-34132.409305019304
worst_loss_2015,2015-12-04,AUD,-26858.358306756905
worst_loss_2015,2015-12-04,CHF,-5559.7245459680671
worst_loss_2015,2015-12-04,GBP,-10866.721801135058
worst_loss_2015,2015-12-04,JPY,-19090.539399789817
worst_loss_2015,2015-12-04,USD,-25003.188629633045
worst_loss_2020,2020-03-23,AUD,-17729.616912533878
worst_loss_2020,2020-03-23,CHF,-6151.9236647864655
worst_loss_2020,2020-03-23,GBP,-16188.165344073313
worst_loss_2020,2020-03-23,JPY,-7070.887403788136
worst_loss_2020,2020-03-23,USD,-8288.9763289370385
worst_loss_2022,2022-02-04,AUD,-20577.07583147709
worst_loss_2022,2022-02-04,CHF,-22718.764474585194
worst_loss_2022,2022-02-04,GBP,-13880.864052520988
worst_loss_2022,2022-02-04,JPY,-16490.017524942374
worst_loss_2022,2022-02-04,USD,-17323.613827084715
