event_id,anchor_date,selection,anchor_as_of,anchor_es_975_eur,anchor_exception_99,anchor_excess_99_eur,anchor_var_99_eur,model,next_as_of,next_date,next_to_anchor_var_ratio,next_var_99_eur,post_exceptions_99,post_mean_var_99_eur,post_n,post_sum_excess_99_eur,pre_mean_var_99_eur,pre_n,window_status
chf_floor_2015,2015-01-15,Original CHF anchor; +/-20-observation replay added after review,2015-01-14,42638.110992811424,False,0,42703.945717745359,ewma_fhs,2015-01-15,2015-01-16,5.8418835797563951,249471.47927930503,0,198523.11220585022,20,0,41012.967451121716,20,complete
chf_floor_2015,2015-01-15,Original CHF anchor; +/-20-observation replay added after review,2015-01-14,35998.351929613011,False,0,35821.964863670219,ewma_gaussian,2015-01-15,2015-01-16,4.9691289114104649,178003.96126759352,0,151091.09928570429,20,0,35686.139673091508,20,complete
chf_floor_2015,2015-01-15,Original CHF anchor; +/-20-observation replay added after review,2015-01-14,52318.331510771699,False,0,49189.185347704282,historical,2015-01-15,2015-01-16,1.0424752667513939,51278.50911663178,0,51442.778375265698,20,0,47782.719544717627,20,complete
worst_loss_2008,2008-12-18,Retrospective worst loss within original stress year,2008-12-17,79827.330868567558,True,11834.878309950815,82040.833783315073,ewma_fhs,2008-12-18,2008-12-19,1.1205916375708085,91934.272276919539,0,99500.343303442671,20,0,90537.390129497624,20,complete
worst_loss_2008,2008-12-18,Retrospective worst loss within original stress year,2008-12-17,71058.816863734668,True,23165.073841720674,70710.638251545213,ewma_gaussian,2008-12-18,2008-12-19,1.1855277527187402,83829.424059662182,0,95726.110052302713,20,0,70584.897419663175,20,complete
worst_loss_2008,2008-12-18,Retrospective worst loss within original stress year,2008-12-17,36339.546720158804,True,56425.142214113745,37450.569879152143,historical,2008-12-18,2008-12-19,0.97272054537601282,36428.938757491349,1,38349.949348156413,20,15144.956613498805,34589.827466405433,20,complete
worst_loss_2015,2015-12-04,Retrospective worst loss within original stress year,2015-12-03,51005.967537896278,True,37970.081513850426,49408.451169432461,ewma_fhs,2015-12-04,2015-12-07,1.338491386241071,66132.786297797924,0,59927.182686115753,20,0,55702.714090580936,20,complete
worst_loss_2015,2015-12-04,Retrospective worst loss within original stress year,2015-12-03,46714.233726596438,True,40893.19239716704,46485.340286115847,ewma_gaussian,2015-12-04,2015-12-07,1.418142662571843,65922.844243910484,0,57679.46659305018,20,0,56092.507474185644,20,complete
worst_loss_2015,2015-12-04,Retrospective worst loss within original stress year,2015-12-03,53606.956354580856,True,38087.908757485704,49290.623925797183,historical,2015-12-04,2015-12-07,0.99576190791168373,49081.725722509087,0,48968.872392864061,20,0,49189.14998306935,20,complete
worst_loss_2020,2020-03-23,Retrospective worst loss within original stress year,2020-03-20,69692.135857779664,False,0,66644.890854325364,ewma_fhs,2020-03-23,2020-03-24,1.0212843175250694,68063.381872692422,0,63314.810463189453,20,0,43612.994988579259,20,complete
worst_loss_2020,2020-03-23,Retrospective worst loss within original stress year,2020-03-20,45159.799418823888,True,10491.047157461449,44938.522496657381,ewma_gaussian,2020-03-23,2020-03-24,1.1791414721082374,52988.875571077726,0,47727.460185382646,20,0,34346.380318424417,20,complete
worst_loss_2020,2020-03-23,Retrospective worst loss within original stress year,2020-03-20,37931.800644120529,True,18744.057253600688,36685.512400518142,historical,2020-03-23,2020-03-24,1.0010782635783677,36725.069052393381,0,37265.237808591366,20,0,35850.783519139324,20,complete
worst_loss_2022,2022-02-04,Retrospective worst loss within original stress year,2022-02-03,31176.180838830249,True,61760.129241385504,29230.20646922486,ewma_fhs,2022-02-04,2022-02-07,1.4737721764067566,43078.665004968381,0,41304.545897550139,20,0,27628.835508414009,20,complete
worst_loss_2022,2022-02-04,Retrospective worst loss within original stress year,2022-02-03,21596.404930348792,True,69499.750249664648,21490.585460945724,ewma_gaussian,2022-02-04,2022-02-07,2.5571308959911665,54954.240055122878,0,51620.320428556479,20,0,22978.137185858061,20,complete
worst_loss_2022,2022-02-04,Retrospective worst loss within original stress year,2022-02-03,35205.39450830729,True,57233.798455602613,33756.537255007752,historical,2022-02-04,2022-02-07,0.99733194028060845,33666.472797691524,0,34188.503902543991,20,0,33746.807171111606,20,complete
